Lakename,Latitude,Longitude,Distance(km),Roads,Population(104),GDP(yuan/per),Grain(t/per),Precipitation(mm),Wind(m/s),Temperature(℃), TN(mg/L), TP(mg/L),COD(mg/L),Depth(m),Area(km2),Chl-a(μg/L),Wetlands,Grassland,Woodland,Unused,Reservoir ponds,Building land,Farmland
chenghai,26.34161,100.403352,58,12,41,17348.58537,0.488012195,1217.8792,2.860454354,13.46242413,0.792,0.046,5.43,23.73,73.66405759,54.58915472,0,36,117,0,1,1,40
erhai,25.480237,100.113386,22.3,159,63,55884.03175,0.289126984,1048.6136,2.243921559,15.55529304,0.525,0.029,3.08,10.82,240.3268188,10.2,0,98,78,0,0,54,143
dianchi,24.483891,102.412592,10.4,97,24,69767.02143,0.081781071,1023.9248,4.116521307,14.61544119,3.01,0.21,96.13,5.38,296.7480418,47.38,1,60,61,0,6,124,150
fuxianlake,24.334199,102.522818,40.84,58,22.5,38016.09139,0.184869748,1023.9248,4.116521307,14.61544119,0.153,0.012,1.208,87.81,214.2627203,2.18,0,70,97,0,0,14,120
dongjianglake,25.401584,113.300153,37.14,21,38,85956.81579,0.333068421,1394.8664,2.923509314,17.84710916,0.16,0.03,2.09,51,135.6135055,3.09,7,27,561,0,90,3,77
changlake,30.264534,112.275367,17.53,31,60,40851.83333,1.2532,999.2868,2.189362202,16.91995587,1.59,0.095,3.09,5.1,123.7258783,68.5,9,0,1,0,32,31,316
datonglake,29.124802,112.284469,61.99,10,79,29303.43038,0.69865443,840.2828,2.724956873,17.62716395,1.14,0.399,3.65,2.58,78.68761871,7.7,6,0,6,0,17,4,144
balilake,29.410989,115.563221,6.55,14,33,33074.48485,0.289039394,1807.3624,3.562400363,12.0969219,1.064,0.177,2.56111835,5.6,64.58213108,28.79,11,0,19,0,3,43,32
xizilake,30.490677,117.014781,28.26,14,86.5,26640.54843,0.469051818,2115.566,2.889326914,16.47912117,0.501,0.062,3.921666667,4.2,180.134673,2.5,75,14,50,0,26,11,278
chengxilake,32.222964,116.161286,69.84,8,163,13199.68712,0.862822086,1068.6796,2.085732803,16.01730329,0.299,0.161,9.6088,2,92.81487704,10.162,3,1,0,0,6,20,119
chengdonglake,32.172506,116.224107,68.1,20,163,13199.68712,0.862822086,1068.6796,2.085732803,16.01730329,0.761,0.066,9.6088,4.37,106.9485791,2.123,19,0,0,0,4,35,244
wabulake,32.230953,116.541573,29.42,22,140,10174.65,0.967285714,925.1188,2.681661777,15.63183635,0.89,0.09,3.17,1.67,150.078537,60.88116363,4,0,1,0,6,85,426
nansilake,34.56147,116.541012,44.07,34,73,56185.9726,0.45,1003.4016,2.029255165,15.24953553,1.01,0.09,5.9,1.5,281.3205062,11,48,27,15,1,356,99,354
dongpinglake,35.583043,116.130714,61.14,27,81,45938.41975,0.746906173,1199.642,2.437121713,14.4179708,0.741,0.042,3.8,4.87,109.1985334,20.94,4,21,20,2,10,38,176
baiyangdian,38.530965,116.00426,48.07,21,68,39543.31054,0.522198864,1677.8732,2.232788038,12.94406592,1.172,0.069,27.51,3.5,61.82545231,10.22,119,1,2,0,4,32,235
wolonglake,42.441058,123.163833,65.56,12,35,37370.45714,1.431428571,1185.3164,2.330640534,8.456641882,2.51,0.27,14.13,2.2,54.82741126,56.73701076,25,17,3,9,0,24,99
chaganlake,45.120356,124.214957,44.54,23,41.67,57012.552,2.960496195,604.9264,2.465002511,5.832378446,1.75,0.05,32.1,4,301.394683,0.0119,90,40,1,165,0,11,213
yuelianglake,45.441821,123.542181,84.89,27,33,44531.42593,2.914374786,967.8924,3.238191364,5.01053893,1.35,0.03,20.27,3,192.6125335,54.48819446,189,25,5,48,1,5,145
lianhuanlake,46.463356,124.12265,68.14,30,24,43707.83333,3.45625,967.8924,3.238191364,5.01053893,1.34,0.2607,15.07,5,384.3751023,7.9,76,186,47,67,0,12,293
longhupao,46.423828,124.224357,56.65,12,24,43707.83333,3.45625,967.8924,3.238191364,5.01053893,0.7856,0.2547,15.07,4.5,132.3113375,4.9551,5,50,30,45,0,8,159
qingkenpao,46.205812,125.323636,43.69,4,67.5,60626.66574,2.010759998,624.078,2.704319865,4.610219002,1.48,0.1,8.3,1,69.52248098,3,50,70,5,10,0,3,130
jingpolake,43.500599,128.524693,98.16,34,42,48706.11905,2.014285714,932.7388,2.377064195,4.511222456,0.79,0.02,4.9,40,85.59506182,6,33,34,431,0,90,1,122
xingkailake,45.204631,132.345202,117.4,19,29.5,31118.64407,2.118644068,723.0872,2.502703951,3.959266624,1.5675,0.095,48.7425,1.8,180.7285921,39.87,123,5,18,0,3,7,210
shijiulake,31.272341,118.501095,39.86,28,45,112543.5495,0.49326191,1892.808,2.70430194,16.08742055,1.840375,0.047815,4.775246544,4.08,214,7.3392345,13,2,1,0,47,21,137
guchenglake,31.175853,118.55522,39.7,20,45.8,61013.13505,0.543525201,1130.7572,2.678385114,16.51013634,1.309675,0.02121,3.650050767,1.56,31.5,3.608214,1,2,12,0,45,14,44
nanyilake,31.051415,118.583415,60.78,10,51,25739.10938,0.595513326,1130.7572,2.678385114,16.51013634,2.605525,0.04868,3.110692697,2.25,194.2,8.7997065,14,18,29,0,14,7,136
tianmulake,31.180352,119.255679,74.3,17,55.67,57792.7881,0.614453713,1328.7756,1.992062473,16.43158715,1.56365,0.0196775,2.359152375,10,7.25,11.108075,0,1,20,0,6,6,49
changdanglake,31.372622,119.324405,44.78,37,55,109094.5455,0.43922,1328.7756,1.992062473,16.43158715,1.9237,0.082765,4.256065607,1.1,86.7,26.3422035,1,0,0,0,33,24,96
gehu,31.354108,119.492516,28.26,38,101,168517.7699,0.217969198,1328.7756,1.992062473,16.43158715,2.84745,0.1025925,4.74758115,1.19,143.8,22.717575,0,1,0,0,90,47,132
taihu,31.152863,120.121839,32.4,168,82.5,143339.5843,0.205485893,1328.7756,1.992062473,16.43158715,3.0720625,0.1645625,5.320141865,2,2445,20.8180882,27,20,218,5,121,384,774
caolake,31.284654,120.343661,20.5,24,107,197419.6262,0.259401869,1041.8572,2.640282164,16.78366457,2.483325,0.070545,3.255294687,2,9.07,20.33470575,5,0,1,0,1,13,26
kunchenglake,31.34549,120.444736,34,24,107,197419.6262,0.259401869,1041.8572,2.640282164,16.78366457,1.54585,0.1080275,4.079683086,1.78,18.3,6.79962434,1,0,0,0,3,16,31
yangchenglake,31.241051,120.481541,26.02,58,73.5,270448.9118,0.077359315,1685.4424,2.640282164,16.78366457,2.410225,0.1138175,5.020474454,1.4,116.5,15.531465,3,0,1,0,42,97,130
dianshanlake,31.06282,120.583418,42.6,62,67.67,234116.927,0.230617813,1041.8572,2.640282164,16.78366457,2.61905,0.0962725,4.012038042,2.5,59.5,11.6502495,2,2,7,0,100,64,174
chenglake,31.124485,120.485557,25.9,38,76.33,246491.551,0.117223283,1041.8572,2.640282164,16.78366457,3.086825,0.10129,3.431624472,1.83,41.3,8.6257035,0,0,0,0,10,23,36
dazonglake,33.082869,119.492516,36.3,6,106.67,55171.5408,0.90417131,1175.512,2.544495543,15.20885568,2.150425,0.0780925,5.470131066,1.02,30,24.35394986,0,0,0,0,5,0,18
gaoyoulake,32.5151,119.205375,49.9,34,73,75207.527,0.905956969,1051.052,2.338400071,14.64423172,2.182075,0.0981825,5.077983277,1.44,745.3,8.27102475,192,19,0,0,187,113,796
baimalake,30.094689,120.125216,15,9,52.25,72143.88136,0.943677043,278.9428,2.094595576,14.64423172,1.764375,0.050685,4.721574719,0.97,44.3,23.23035375,6,1,0,0,47,4,69
hongzelake,33.172908,118.431128,45.72,49,84,46388.31694,0.975485244,1051.052,2.338400071,14.64423172,2.125225,0.1041525,5.265767466,1.77,1576.9,5.19219,99,0,12,0,77,243,1025
luomalake,34.061324,118.105693,16.8,26,90.5,43467.42603,0.558409276,1003.4016,2.029255165,15.24953553,1.1391,0.0297625,3.430895601,3.3,290.9,8.4051075,23,5,5,0,10,71,209
tuolake,33.102426,117.501321,49.8,33,82,22455.21752,0.902426471,925.1188,2.681661777,15.63183635,1.539725,0.0839275,4.942744759,1.2,44.3,37.73964413,3,0,0,0,2,22,108
huayuanlake,33.004195,117.513286,43.5,9,70.33,22892.82376,0.970279698,925.1188,2.681661777,15.63183635,1.26985,0.0468425,5.102619126,1.35,47.3,10.112913,4,0,0,0,1,17,86
nvshanlake,32.570245,118.041667,63.8,18,65,20084.86154,0.993301538,925.1188,2.681661777,15.63183635,1.358375,0.0473875,4.299757967,1.71,103.3,8.149032,19,11,10,0,8,52,357
chaohu,31.36423,117.512239,44.3,36,98.25,44129.53525,0.553592638,2016.7092,2.762270551,16.01388211,3.16795,0.088365,4.08584276,2.79,2046.14,10.52478358,25,65,42,4,11,125,568
fengshalake,30.553541,117.381542,15.6,4,109.5,25804.50097,0.473173906,2115.566,2.889326914,16.47912117,1.214025,0.0488925,3.0709818,1.5,20,13.8070125,3,17,1,0,2,6,39
baidanglake,30.49082,117.220308,17.8,5,97,21175.64948,0.50257732,2115.566,2.889326914,16.47912117,1.057225,0.0344375,3.119570124,3.06,39.7,8.3539575,5,2,17,0,6,6,53
shengjinlake,30.225826,117.050705,18.49,14,55,26007.41818,0.396,2115.566,2.889326914,16.47912117,1.206525,0.0548475,2.946572851,1.26,103.9,8.98373025,56,46,48,0,15,17,181
poganglake,30.3811,117.103648,14,22,83.5,24466.57474,0.496431517,2115.566,2.889326914,16.47912117,1.284675,0.104255,4.776719345,1.52,30,36.12585,4,18,4,0,13,6,72
matanglake,30.250573,116.372321,48.6,6,70,27757.5,0.490285714,2115.566,2.889326914,16.47912117,0.682275,0.0323825,2.741419899,3.5,7.27,5.694804457,3,3,5,0,2,3,38
wuchanglake,30.172201,116.483085,49,9,64,16931.28125,0.54609375,2115.566,2.889326914,16.47912117,0.71835,0.029695,2.708818922,3.43,107.5,9.146147838,18,3,18,0,10,25,187
pohu,30.090943,116.271727,63.94,20,69.67,18024.82364,0.427318606,1807.3624,3.562400363,12.0969219,0.9065,0.0327875,2.832934561,4.41,175.3,8.141732449,13,9,16,0,5,20,289
daguanlake,30.020996,116.205481,46.75,19,87,18813.27586,0.401724138,1807.3624,3.562400363,12.0969219,1.200825,0.0622325,3.377545528,15,189,11.692332,43,6,6,0,5,21,297
longganlake,29.561509,116.122461,39,11,94,18721.70724,0.412198703,1807.3624,2.762270551,16.01388211,1.601633333,0.095587083,4.58958887,3.78,420,20.3817715,31,13,12,0,18,15,304
chidonglake,30.0605,115.2402,38.2,5,92.5,26030.0798,0.416331399,1807.3624,2.762270551,16.01388211,2.235925,0.166775,5.169707431,3.5,20.7,34.24565571,10,0,33,0,3,15,107
wushanlake,29.544231,115.350914,42.7,4,82,31802.87805,0.363536585,1807.3624,2.762270551,16.01388211,1.93815,0.23395,5.409322842,3.1,16,51.10771821,0,0,3,0,2,4,41
taibailake,29.574303,115.483877,34.4,3,91.5,25216.50833,0.393104926,1807.3624,2.762270551,16.01388211,1.5675,0.134125,5.38700952,2.7,27.1,42.89904,1,0,0,0,7,2,70
sailake,29.411847,115.52543,7.8,20,33,33074.48485,0.289039394,1807.3624,2.762270551,16.01388211,0.849325,0.0381175,2.56111835,2.24,61.32,11.0854605,21,0,34,0,5,32,85
poyanglake,29.084241,116.105954,74.76,118,67.3636,87420.09891,0.567449859,1579.8292,1.772662159,18.38807722,1.5436,0.061226667,2.467469662,5.1,2933,4.037794286,800,169,430,425,143,196,2310
yangfanglake,28.314177,116.320399,52.6,9,96.5,23576.82756,0.647331699,1579.8292,1.772662159,18.38807722,1.478325,0.0680125,3.784727021,2.3,38.64,10.02926557,12,3,8,0,1,2,39
qinglanlake,28.294675,116.09132,38.94,14,85,34919.85882,0.584941176,1579.8292,1.772662159,18.38807722,1.728375,0.05498,2.590894714,4,15,10.42092125,14,2,44,0,15,5,175
qingshanlake,30.143365,119.462802,8.7,9,94,72239.22,0.63758798,1579.8292,1.772662159,18.38807722,1.47825,0.13225,5.190207376,2,3.16,49.54059514,3,0,0,0,0,28,3
yaolake,28.420362,116.040475,21.9,17,94,72239.22,1.226707317,1579.8292,1.772662159,18.38807722,1.7489,0.1451125,4.738778755,2,16.2,45.79992257,2,0,0,0,6,27,51
chihu,29.465446,115.413273,26.7,20,40,34004.63604,0.254142037,1579.8292,1.772662159,18.38807722,1.020625,0.030255,2.859007741,2.8,50.5,10.2111302,40,4,25,0,2,16,103
cihu,30.12543,115.040249,3,25,100,38241.06943,0.349705352,1579.8292,1.772662159,18.38807722,1.070375,0.068605,4.139859628,3.79,8.05,31.7294145,5,0,27,0,0,18,6
cehu,30.15183,115.094405,13.9,15,102,21330.09804,0.441862745,1579.8292,1.772662159,18.38807722,2.109625,0.2109075,6.32667842,2.1,9,51.85587664,12,0,7,0,5,5,34
dayelake,30.052818,115.062126,15.29,24,103.5,36723.9883,0.271295539,1173.4292,2.511671075,17.06979701,1.74685,0.061565,3.153746145,2.3,64.3,16.02544114,6,0,58,0,9,35,171
baoanlake,30.13575,114.43342,24,9,98,55152.04082,0.257547959,1699.1076,2.511671075,17.06979701,0.935775,0.0518925,3.339270264,3.4,41.7,15.50625536,8,0,2,0,20,12,56
liangzilake,30.055986,114.410442,41.46,28,59,115547.4576,0.42220339,1173.4292,2.511671075,17.06979701,1.242975,0.034865,3.210437456,4.16,247.9,15.577128,43,7,42,2,18,32,477
yandonglake,30.315805,114.3346,26,12,56.42,135313.2049,0.250545314,1699.1076,2.511671075,17.06979701,1.3438,0.089745,5.356617782,1.6,8.7,50.61942836,2,2,6,0,8,18,22
tangxunlake,30.254493,114.214988,19.6,26,56.41,135313.2049,0.250545314,1699.1076,2.511671075,17.06979701,2.3641,0.081566667,4.512594179,1.85,35.3,37.15079857,2,0,1,1,4,41,60
donghu,30.331512,114.231545,11.4,19,53.83,155078.9523,0.078887238,1699.1076,2.511671075,17.06979701,0.883425,0.07702,4.196553964,2.5,21.9,34.89891429,1,0,8,0,1,50,26
luhu,30.132482,114.115078,41.8,10,59,115547.4576,0.42220339,1699.1076,2.511671075,17.06979701,1.2768,0.07503,3.890204521,3.3,34.7,65.04685714,1,1,4,0,2,2,91
zishanlake,29.593073,114.184194,20.93,14,48,86626.43152,0.437858452,1173.4292,2.511671075,17.06979701,1.944175,0.0634325,3.012358862,2.9,136.4,21.03237877,11,2,33,0,29,8,176
xilianglake,29.56417,114.03599,26.54,17,45,62835.72157,0.409378266,1173.4292,2.511671075,17.06979701,1.23525,0.0272625,3.132974694,1.94,80,11.39127771,14,8,45,1,29,7,168
huanggailake,29.393082,113.325719,15.11,14,53.5,55572.82442,0.474672991,840.2828,2.724956873,17.62716395,2.181875,0.0892875,3.397055673,4.2,70.6,14.71495821,10,3,67,0,65,4,139
dongtinglake,28.493773,112.414152,24.8,103,81,35854.82653,0.654197066,1216.8124,1.854751319,17.62716395,1.847658333,0.066704167,3.476269384,6.5,2579.2,9.56800275,783,1,90,375,147,139,1572
honghu,29.490767,113.272926,11.41,8,93,22913.98925,0.709139785,840.2828,2.724956873,17.62716395,1.27185,0.0603875,5.325788554,1.91,329.4,24.05633436,29,0,2,0,46,9,90
wanghu,29.520548,115.193087,47.6,12,109,18295.93578,0.285043119,1807.3624,2.762270551,16.01388211,1.09385,0.1478725,3.292109717,3.7,39.4,22.975836,11,0,17,0,17,1,44
huangmangtan,29.4813,116.2034,41.8,6,30,40005.76667,0.369616667,1807.3624,2.762270551,16.01388211,1.453975,0.1056325,4.236813633,3.5,7.72,20.74784533,9,0,8,0,2,4,29
yanqilake,40.234559,116.402818,8.7,14,28,90077.10714,0.133432143,1439.926,2.874344329,12.74947717,2.65,0.04,3.56,25,2.3,7.52,1,0,19,0,3,13,6
xingyunlake,24.202938,102.471762,24.4,33,28,28960.53571,0.157857143,1023.9248,4.116521307,14.61544119,2.36779,1.6443,18.2819,7,34.71,180.14,0,17,7,0,0,14,31
yilonglake,23.391717,102.365717,75.6,21,32,19413.96875,0.42326875,756.6152,2.352957495,24.26037815,5.21,0.135,30.1,2.75,31,100.93,10,33,8,0,0,6,27
qilulake,24.094247,102.462642,32,30,29,34894.7931,0.127748276,1023.9248,4.116521307,14.61544119,2.25,0.1075,15.8242,4,36.73,104.7,6,9,12,0,0,16,32
hongfenglake,26.320592,106.255151,26.9,38,44.5,42440.31445,0.232253664,1608.074,2.612027495,14.79594828,1.409163333,0.252764667,8.9629,10.51,200,6.863636667,0,73,67,1,0,16,124
yangzonghai,24.542049,103.002481,17.2,26,30,42659.67237,0.313599316,1023.9248,4.116521307,14.61544119,0.7062205,0.0351415,14.5097,20,31.1,16.42179,0,32,11,0,0,6,30
